Temperature,CO2,VOC,Time
-0.6875,400,0,00:46:53
-0.625,400,0,00:46:54
-0.6875,400,0,00:46:56
-0.6875,400,0,00:46:57
-0.625,400,0,00:46:58
-0.625,400,0,00:46:59
-0.6875,400,0,00:47:01
-0.625,400,0,00:47:02
-0.6875,400,0,00:47:03
-0.625,400,0,00:47:04
-0.6875,400,0,00:47:06
-0.625,400,0,00:47:07
-0.625,400,0,00:47:08
-0.625,400,0,00:47:09
-0.625,400,0,00:47:10
-0.625,400,0,00:47:12
-0.6875,400,0,00:47:13
-0.625,400,0,00:47:14
-0.625,400,0,00:47:15
-0.6875,400,0,00:47:17
-0.6875,400,0,00:47:18
-0.6875,400,0,00:47:19
-0.6875,400,0,00:47:20
-0.625,400,0,00:47:22
-0.625,400,0,00:47:23
-0.625,400,0,00:47:24
-0.625,400,0,00:47:25
-0.625,400,0,00:47:27
-0.6875,400,0,00:47:28
-0.625,400,0,00:47:29
-0.625,400,0,00:47:30
-0.625,400,0,00:47:31
-0.625,400,0,00:47:33
-0.625,400,0,00:47:34
-0.625,400,0,00:47:35
-0.625,400,0,00:47:36
-0.5625,400,0,00:47:38
-0.625,400,0,00:47:39
-0.625,400,0,00:47:40
-0.625,400,0,00:47:41
-0.625,400,0,00:47:43
-0.625,400,0,00:47:44
-0.625,400,0,00:47:45
-0.625,400,0,00:47:46
-0.625,400,0,00:47:48
-0.625,400,0,00:47:49
-0.625,400,0,00:47:50
-0.625,400,0,00:47:51
-0.625,400,0,00:47:52
-0.625,400,0,00:47:54
-0.625,400,0,00:47:55
-0.625,400,0,00:47:56
-0.625,400,0,00:47:57
-0.6875,400,0,00:47:59
-0.625,400,0,00:48:00
-0.625,400,0,00:48:01
-0.625,400,0,00:48:02
-0.625,400,0,00:48:04
-0.5625,400,0,00:48:05
-0.625,400,0,00:48:06
-0.625,400,0,00:48:07
-0.625,400,0,00:48:09
-0.625,400,0,00:48:10
-0.5625,400,0,00:48:11
-0.5625,400,0,00:48:12
-0.625,400,0,00:48:13
-0.5625,400,0,00:48:15
-0.625,400,0,00:48:16
-0.625,400,0,00:48:17
-0.625,400,0,00:48:18
-0.625,400,0,00:48:20
-0.625,400,0,00:48:21
-0.5625,400,0,00:48:22
-0.625,400,0,00:48:23
-0.625,400,0,00:48:25
-0.5625,400,0,00:48:26
-0.625,400,0,00:48:27
-0.625,400,0,00:48:28
-0.5625,400,0,00:48:30
-0.625,400,0,00:48:31
-0.5625,400,0,00:48:32
-0.5625,400,0,00:48:33
-0.625,400,0,00:48:34
-0.5625,400,0,00:48:36
-0.625,400,0,00:48:37
-0.625,400,0,00:48:38
-0.625,400,0,00:48:39
-0.625,400,0,00:48:41
-0.5625,400,0,00:48:42
-0.5625,400,0,00:48:43
-0.5625,400,0,00:48:44
-0.5625,400,0,00:48:46
-0.5625,400,0,00:48:47
-0.5625,400,0,00:48:48
-0.5625,400,0,00:48:49
-0.5625,400,0,00:48:51
-0.5625,400,0,00:48:52
-0.5625,400,0,00:48:53
-0.5625,400,0,00:48:54
-0.5625,400,0,00:48:55
-0.5625,400,0,00:48:57
-0.5625,400,0,00:48:58
-0.5,400,0,00:48:59
-0.5625,400,0,00:49:00
-0.5625,400,0,00:49:02
-0.5625,400,0,00:49:03
-0.5625,400,0,00:49:04
-0.5625,400,0,00:49:05
-0.5625,400,0,00:49:07
-0.5625,400,0,00:49:08
-0.5625,400,0,00:49:09
-0.5625,400,0,00:49:10
-0.5,400,0,00:49:12
-0.5625,400,0,00:49:13
-0.5625,400,0,00:49:14
-0.5,400,0,00:49:15
-0.5625,400,0,00:49:16
-0.5,400,0,00:49:18
-0.5625,400,0,00:49:19
-0.5,400,0,00:49:20
-0.5,400,0,00:49:21
-0.5,400,0,00:49:23
-0.5,400,0,00:49:24
-0.5625,400,0,00:49:25
-0.5,400,0,00:49:26
-0.5,400,0,00:49:28
-0.5625,400,0,00:49:29
-0.5625,400,0,00:49:30
-0.5,400,0,00:49:31
-0.5625,400,0,00:49:33
-0.5,400,0,00:49:34
-0.5,400,0,00:49:35
-0.5625,400,0,00:49:36
-0.5625,400,0,00:49:37
-0.5625,400,0,00:49:39
-0.5625,400,0,00:49:40
-0.5,400,0,00:49:41
-0.5625,400,0,00:49:42
-0.5625,400,0,00:49:44
-0.5,400,0,00:49:45
-0.5625,400,0,00:49:46
-0.5625,400,0,00:49:47
-0.5625,400,0,00:49:49
-0.5,400,0,00:49:50
-0.5,400,0,00:49:51
-0.5,400,0,00:49:52
-0.5625,400,0,00:49:54
-0.5,400,0,00:49:55
-0.5625,400,0,00:49:56
